"","nOrders","nItemsOrdered","nItemsSold","salesOrdered","salesSold","returnRatio","shareOwnBrand","shareSale","shareVoucher","crDuration","monetaryReturnRatio","meanDaysBetwOrders","salesPerOrder","salesPerItem","itemsPerOrder","itemsSoldPerOrder","customerSatis"
"39",6,10,2,1817.92,459.88,0.8,0.8,0.5,0.2,1035,0.747029572258405,207,76.65,229.94,1.67,0.33,2.3
"40",7,7,6,1238.3,1135.18,0.142857142857143,0.57,0.14,0,1402,0.0832754582895905,234,162.17,189.2,1,0.86,3.9
"41",6,10,2,3134.03,914,0.8,0.6,0,0.1,1313,0.708362715098452,263,152.33,457,1.67,0.33,2.8
"42",7,13,5,2490.86,597.43,0.615384615384615,1,0.46,0.46,1393,0.76015111246718,232,85.35,119.49,1.86,0.71,2.2
"43",10,13,3,2076.33,550.42,0.769230769230769,0.85,0.69,0.23,1335,0.734907264259535,148,55.04,183.47,1.3,0.3,2.5
"44",3,3,2,1248.57,684.91,0.333333333333333,0.67,0.33,0.33,1427,0.451444452453607,714,228.3,342.45,1,0.67,2
"45",3,8,2,2763.75,788.49,0.75,0.38,0.5,0,1283,0.714702849389417,642,262.83,394.25,2.67,0.67,1.7
"46",21,24,17,17874.8,10526.99,0.291666666666667,0.29,0.17,0,579,0.411070893100902,29,501.29,619.23,1.14,0.81,4.8
"47",7,7,4,2211.92,1035.81,0.428571428571429,0.86,0.71,0,1341,0.531714528554378,224,147.97,258.95,1,0.57,2.8
"48",2,2,1,639.08,336.24,0.5,1,0.5,0.5,425,0.473868686236465,425,168.12,336.24,1,0.5,2.3
"49",12,14,1,3308.43,9.99,0.928571428571429,0.71,0.5,0,1403,0.996980440873768,128,0.83,9.99,1.17,0.08,2.6
"50",2,2,1,421.77,199.05,0.5,0.5,0.5,0.5,1160,0.528060317234512,1160,99.53,199.05,1,0.5,1.7
"51",17,23,6,4290.3,1605.8,0.739130434782609,0.87,0.13,0.26,1387,0.625713819546419,87,94.46,267.63,1.35,0.35,3.1
"52",16,17,13,4474.41,3272.1,0.235294117647059,0.88,0.59,0.18,1309,0.268708053128792,87,204.51,251.7,1.06,0.81,4.2
"53",17,31,14,6213.63,2834.91,0.548387096774194,0.97,0.1,0.68,1312,0.543759444962124,82,166.76,202.49,1.82,0.82,3.2
"54",3,3,3,450.85,450.85,0,1,0.33,0.67,1198,0,599,150.28,150.28,1,1,2.9
"55",4,5,5,930.96,930.96,0,1,0.4,0.4,1103,0,368,232.74,186.19,1.25,1.25,3.5
"56",2,2,2,269.65,269.65,0,1,0.5,0,1229,0,1229,134.82,134.82,1,1,1.5
"57",3,5,1,994.65,9.99,0.8,1,0,0.2,1368,0.989956266023224,684,3.33,9.99,1.67,0.33,1.7
"58",12,13,8,2971.38,1719.29,0.384615384615385,1,0.54,0,1337,0.421383330304438,122,143.27,214.91,1.08,0.67,3
"59",2,3,1,2454.16,9.99,0.666666666666667,0.33,0.33,1,898,0.995929360758875,898,5,9.99,1.5,0.5,1.4
"60",3,4,1,822.97,263.07,0.75,0.75,0.25,0,1322,0.680340717158584,661,87.69,263.07,1.33,0.33,1.8
"61",4,6,4,889.74,688.03,0.333333333333333,1,0,0.33,933,0.226706678355475,311,172.01,172.01,1.5,1,3.3
"62",30,44,13,19014.37,3664.3,0.704545454545455,0.36,0.14,0,1374,0.80728785650011,47,122.14,281.87,1.47,0.43,4.2
"63",10,13,10,5111.42,4186.98,0.230769230769231,0.46,0.54,0.15,2642,0.18085776555243,294,418.7,418.7,1.3,1,4
"64",18,26,18,7013.59,5280.62,0.307692307692308,0.96,0.08,0,1220,0.247087440241018,72,293.37,293.37,1.44,1,4.5
"65",3,3,3,860.38,860.38,0,1,0.33,0,1295,0,648,286.79,286.79,1,1,3.2
"66",12,13,9,3993.14,2080.02,0.307692307692308,0.46,0.69,0.15,1182,0.479101659345778,107,173.34,231.11,1.08,0.75,3.7
"67",42,56,18,17610.93,4985.8,0.678571428571429,0.38,0.61,0.04,1365,0.716891725763489,33,118.71,276.99,1.33,0.43,4.3
"68",7,10,1,4279.19,557.21,0.9,0.2,0,0.6,958,0.869786104379567,160,79.6,557.21,1.43,0.14,2.4
"69",18,21,5,5536.59,1504.04,0.761904761904762,1,0.67,0,1395,0.728345425613961,82,83.56,300.81,1.17,0.28,3
"70",9,12,7,3268.28,2363.14,0.416666666666667,0.58,0,0.42,1106,0.276946895614819,138,262.57,337.59,1.33,0.78,2.9
"71",13,13,7,2360.95,1146.32,0.461538461538462,1,0.62,0.31,1379,0.514466634193863,115,88.18,163.76,1,0.54,3.3
"72",3,3,2,815.31,696.89,0.333333333333333,0.33,0.33,0.33,958,0.145245366792999,479,232.3,348.44,1,0.67,2.8
"73",6,10,6,7309.14,4067.81,0.4,0.1,0,0,1373,0.443462568783742,275,677.97,677.97,1.67,1,3.4
"74",65,90,31,32412.72,10246.62,0.655555555555556,0.38,0.24,0.12,1302,0.68387040643303,20,157.64,330.54,1.38,0.48,5
"75",11,13,10,8381.32,4807.29,0.230769230769231,0.46,0.38,0.15,1360,0.426428056678423,136,437.03,480.73,1.18,0.91,4.1
"76",6,7,4,1698.65,993.67,0.428571428571429,1,0.57,0.43,1231,0.415023695287434,246,165.61,248.42,1.17,0.67,2.8
"77",6,6,5,1658.54,1176.51,0.166666666666667,0.83,0.67,0.17,1177,0.290635136927659,235,196.09,235.3,1,0.83,3.3
"78",11,11,9,1571.7,1282.69,0.181818181818182,1,0.45,0.64,1241,0.183883692816695,124,116.61,142.52,1,0.82,3.3
"79",4,7,5,1511.67,1064.72,0.285714285714286,1,0.57,0,530,0.295666382213049,177,266.18,212.94,1.75,1.25,3.1
"80",7,10,3,1715.25,536.54,0.7,0.9,0.2,0.5,1292,0.687194286547151,215,76.65,178.85,1.43,0.43,2.1
"81",4,5,5,2067.19,2067.19,0,0.8,0,0.4,1992,0,664,516.8,413.44,1.25,1.25,3.8
"82",38,44,6,12981.67,1761.03,0.863636363636364,0.2,0.48,0.02,1293,0.864344880127133,35,46.34,293.5,1.16,0.16,3.5
"83",39,45,8,17535.84,2456.34,0.822222222222222,0.49,0.33,0.22,1314,0.859924588727999,35,62.98,307.04,1.15,0.21,3.7
"84",2,3,1,384,9.99,0.666666666666667,1,0.33,0.67,241,0.973984375,241,5,9.99,1.5,0.5,2
"85",2,2,1,335.24,178.43,0.5,1,0,1,770,0.467754444577019,770,89.22,178.43,1,0.5,2.2
"86",6,6,2,985.76,320.19,0.666666666666667,1,0.67,0.17,1181,0.67518462911865,236,53.37,160.09,1,0.33,2.4
"87",4,4,3,780.29,525.23,0.25,0.5,0,1,1128,0.3268784682618,376,131.31,175.08,1,0.75,3.1
"88",5,5,3,875.47,693.41,0.4,1,0.6,0.2,1221,0.207956868881858,305,138.68,231.14,1,0.6,2.6
"89",4,5,2,2209.76,503.64,0.6,0.6,0.4,0.8,1043,0.772083846209543,348,125.91,251.82,1.25,0.5,2.2
"90",6,10,6,1989.8,1405.42,0.4,0.9,0.3,0.4,1266,0.293687807819881,253,234.24,234.24,1.67,1,3.1
"91",2,3,1,994.59,9.99,0.666666666666667,0,0,0.33,1011,0.989955660121256,1011,5,9.99,1.5,0.5,1.5
"92",25,34,16,8024.2,3440.8,0.529411764705882,0.74,0.06,0.15,1344,0.571197128685726,56,137.63,215.05,1.36,0.64,3.9
"93",2,2,1,311.34,184.79,0.5,1,0.5,0.5,1159,0.406468812231002,1159,92.39,184.79,1,0.5,1.5
"94",41,64,9,28951.01,4855.01,0.859375,0.8,0.19,0,1081,0.832302569064084,27,118.41,539.45,1.56,0.22,3.7
"95",6,15,4,2939.72,479.99,0.733333333333333,0.87,0.13,0,1351,0.836722545004286,270,80,120,2.5,0.67,2.3
"96",2,2,2,463.46,463.46,0,1,0.5,1,1188,0,1188,231.73,231.73,1,1,2.1
"97",9,15,7,2727.19,1438.22,0.533333333333333,1,0.27,0.13,1306,0.472636669978989,163,159.8,205.46,1.67,0.78,2.6
"98",154,165,16,43169.77,3962.96,0.903030303030303,0.3,0.43,0.04,1297,0.908200576468209,8,25.73,247.69,1.07,0.1,5
"99",27,41,20,18387.33,9673.66,0.51219512195122,0.1,0.39,0.15,1087,0.473895339888934,42,358.28,483.68,1.52,0.74,4.4
"100",15,19,8,4393.68,1841,0.578947368421053,0.74,0.53,0.05,644,0.580989057009159,46,122.73,230.12,1.27,0.53,3.2
"101",6,6,5,1188.91,952.53,0.166666666666667,0.67,0.67,0,514,0.198820768603174,103,158.75,190.51,1,0.83,3.4
"102",4,5,2,1899.94,1007.49,0.6,0.8,0.4,0,1111,0.469725359748203,370,251.87,503.75,1.25,0.5,2.6
"103",59,130,7,20493.84,766.16,0.946153846153846,0.96,0.33,0.12,813,0.96261510775921,14,12.99,109.45,2.2,0.12,3.8
"104",9,12,3,2221.46,338.2,0.75,0.92,0.75,0.17,1266,0.847757780918855,158,37.58,112.73,1.33,0.33,2.2
"105",2,2,1,372.37,9.99,0.5,1,0.5,0,1266,0.973171845207723,1266,5,9.99,1,0.5,1.4
"106",2,3,3,545.67,545.67,0,1,0.33,0.67,698,0,698,272.83,181.89,1.5,1.5,2.8
"107",3,4,1,3141.92,1038.2,0.75,0.25,0.75,0,745,0.669565106686357,372,346.07,1038.2,1.33,0.33,2.2
"108",2,2,1,554.18,9.99,0.5,1,1,0,469,0.981973366054351,469,5,9.99,1,0.5,2
"109",2,2,2,462.69,462.69,0,1,0.5,0.5,995,0,995,231.34,231.34,1,1,1.8
"110",6,12,7,3180.72,2031.49,0.416666666666667,0.67,0.58,0,1152,0.361311275434493,230,338.58,290.21,2,1.17,2.8
"111",2,2,2,463.96,463.96,0,0.5,0.5,0,676,0,676,231.98,231.98,1,1,2.8
"112",8,8,3,2269.49,910.5,0.625,1,0.25,0.12,788,0.59880854288849,113,113.81,303.5,1,0.38,2.4
"113",4,5,2,1048.78,561.42,0.6,1,0,0.2,1062,0.464692309159214,354,140.35,280.71,1.25,0.5,2.3
"114",2,2,1,440.48,229.41,0.5,1,0,0,955,0.479181801670905,955,114.7,229.41,1,0.5,2
"115",4,6,5,1344.03,950.99,0.166666666666667,1,0.67,0,1280,0.29243394864698,427,237.75,190.2,1.5,1.25,3.1
"116",4,7,3,1350.94,641.98,0.571428571428571,1,0.43,0,296,0.524790146120479,99,160.5,213.99,1.75,0.75,2.8
"117",6,7,6,1322.41,1087.2,0.142857142857143,1,0.29,0.71,1056,0.177864656195885,211,181.2,181.2,1.17,1,3
"118",5,6,3,4092.94,3126.31,0.5,0,0.5,0,555,0.236170088005199,139,625.26,1042.1,1.2,0.6,3.6
"119",11,19,15,4006.12,3070.87,0.210526315789474,1,0.79,0,2302,0.233455313370543,230,279.17,204.72,1.73,1.36,3.7
"120",19,24,15,13187.92,5350.55,0.375,0.21,0.46,0.08,1210,0.594284011428641,67,281.61,356.7,1.26,0.79,4.3
"121",3,3,3,432.05,432.05,0,1,0.67,0,1200,0,600,144.02,144.02,1,1,2.7
"122",5,6,2,852.87,346.72,0.666666666666667,1,0.5,0.67,1226,0.593466765157644,306,69.34,173.36,1.2,0.4,1.5
"123",10,13,3,2691.9,683.61,0.769230769230769,0.92,0.15,0.38,990,0.746049258887775,110,68.36,227.87,1.3,0.3,3
"124",13,16,5,7312.62,1632.94,0.6875,0.12,0.12,0.06,843,0.77669563029393,70,125.61,326.59,1.23,0.38,3.4
"125",4,4,4,1083.68,1083.68,0,1,0,0.5,355,0,118,270.92,270.92,1,1,3.7
"126",4,4,4,672.35,672.35,0,1,0.25,0.5,1041,0,347,168.09,168.09,1,1,3.6
"127",5,7,5,1073.38,644.36,0.285714285714286,1,0.43,0,1083,0.399690696677784,271,128.87,128.87,1.4,1,2.9
"128",5,5,3,1365.17,1003.88,0.4,0.8,0.2,0.4,443,0.264648358812456,111,200.78,334.63,1,0.6,2.9
"129",14,14,5,4625.92,1787.6,0.642857142857143,0.93,0.43,0,1184,0.613568760376314,91,127.69,357.52,1,0.36,3
"130",14,25,20,5156.35,4176.67,0.2,0.84,0.6,0.16,1182,0.189994860705732,91,298.33,208.83,1.79,1.43,4.1
"131",2,2,2,247.92,247.92,0,0.5,0,0.5,1218,0,1218,123.96,123.96,1,1,1.9
"132",3,3,1,529.15,235.57,0.666666666666667,1,0.67,0,531,0.554814324860626,266,78.52,235.57,1,0.33,1.4
"133",8,13,5,4339.29,1714.38,0.615384615384615,0.31,0.54,0.08,1067,0.604916933415374,152,214.3,342.88,1.62,0.62,1.5
"134",10,13,3,5789.2,1289.85,0.769230769230769,0.46,0.54,0,1198,0.77719719477648,133,128.98,429.95,1.3,0.3,3
"135",28,51,13,35834.18,9460,0.745098039215686,0.27,0.61,0.08,1225,0.73600623762006,45,337.86,727.69,1.82,0.46,3.7
"136",64,80,39,20003.93,11023.89,0.5125,0.84,0.28,0.21,1216,0.448913788440572,19,172.25,282.66,1.25,0.61,5
"137",4,6,1,1808.14,133.76,0.833333333333333,0.5,0.5,0.67,756,0.926023427389472,252,33.44,133.76,1.5,0.25,1.9
"138",5,9,6,4240.06,2451.76,0.333333333333333,0.67,0.44,0,1183,0.42176289958161,296,490.35,408.63,1.8,1.2,3.5
"139",9,13,4,3158.99,1243.42,0.692307692307692,1,0.54,0,1088,0.606386851493674,136,138.16,310.86,1.44,0.44,2.7
"140",31,49,16,23351.6,7430.42,0.673469387755102,0.39,0.24,0.2,1171,0.681802531732301,39,239.69,464.4,1.58,0.52,4.2
"141",21,27,5,9359.96,2448.62,0.814814814814815,0.59,0.7,0.19,804,0.738394181171714,40,116.6,489.72,1.29,0.24,2.7
"142",2,3,1,465.49,9.99,0.666666666666667,1,0.33,0,562,0.9785387441191,562,5,9.99,1.5,0.5,2.1
"143",7,8,2,2441.13,635.63,0.75,1,0.12,0.25,1091,0.739616489084973,182,90.8,317.81,1.14,0.29,2.6
"144",4,5,2,1560.86,937.19,0.6,0.8,0.8,0.4,1045,0.399568186768833,348,234.3,468.6,1.25,0.5,2.4
"145",9,11,10,4565.03,3892.92,0.0909090909090909,0.64,0.45,0,1155,0.14723013868474,144,432.55,389.29,1.22,1.11,4.3
"146",24,37,28,8500.59,7191.53,0.243243243243243,0.7,0.35,0.16,1097,0.153996369663753,48,299.65,256.84,1.54,1.17,3.8
"147",43,63,27,11742.42,5484.69,0.571428571428571,0.71,0.51,0.19,1175,0.532916553827916,28,127.55,203.14,1.47,0.63,3.9
"148",5,7,3,2477.73,1317.63,0.571428571428571,0,0.29,0.14,614,0.468210822002397,154,263.53,439.21,1.4,0.6,3.1
"149",2,2,2,1081.74,1081.74,0,0,0.5,0,452,0,452,540.87,540.87,1,1,3.6
"150",34,52,34,20643.84,13676.29,0.346153846153846,0.35,0.1,0,905,0.33751230391245,27,402.24,402.24,1.53,1,5
"151",6,6,4,2578.09,2168.33,0.333333333333333,0.5,0.17,0.67,1020,0.158939369843566,204,361.39,542.08,1,0.67,3.3
"152",9,16,4,3402.23,941.67,0.75,0.81,0.56,0.31,1161,0.723219770562249,145,104.63,235.42,1.78,0.44,2.7
"153",5,5,4,1286.91,1013.88,0.2,1,0,0.2,988,0.212159358463296,247,202.78,253.47,1,0.8,3.6
"154",2,2,1,251.59,134.38,0.5,0.5,0.5,0.5,1187,0.465877022139195,1187,67.19,134.38,1,0.5,1.2
"155",20,22,9,11364.76,4888.57,0.590909090909091,0.23,0.64,0,913,0.569848373392839,48,244.43,543.17,1.1,0.45,3.5
"156",4,6,3,1178.65,713.08,0.5,0.5,0.67,0,345,0.395002757391931,115,178.27,237.69,1.5,0.75,2.7
"157",8,14,1,2543.75,139.36,0.928571428571429,0.64,0.36,0.5,1150,0.945214742014742,164,17.42,139.36,1.75,0.12,2.2
"158",13,14,5,2858.56,1328.75,0.642857142857143,1,0.21,0.43,711,0.535168056643905,59,102.21,265.75,1.08,0.38,3.3
"159",11,15,9,7638.63,4918.46,0.4,0.27,0.13,0.33,1093,0.356107050609861,109,447.13,546.5,1.36,0.82,4.2
"160",78,86,2,21333.69,286.39,0.976744186046512,0.78,0.59,0.01,2549,0.986575693187629,33,3.67,143.19,1.1,0.03,3.8
"161",37,46,3,9873.45,543.06,0.934782608695652,0.76,0.13,0.13,974,0.944997949045167,27,14.68,181.02,1.24,0.08,3.5
"162",7,14,1,2449.86,180.5,0.928571428571429,1,0.86,0,921,0.926322320459128,154,25.79,180.5,2,0.14,1.6
"163",13,14,2,3139.18,436.64,0.857142857142857,1,0.43,0.5,1152,0.860906351340159,96,33.59,218.32,1.08,0.15,2.3
"164",5,5,3,3138.3,1576.51,0.4,0.4,1,0,977,0.497654781250996,244,315.3,525.5,1,0.6,2.9
"165",16,16,6,3436.54,1364.23,0.625,0.75,0.25,0.06,1048,0.603022225843436,70,85.26,227.37,1,0.38,3.3
"166",71,92,23,33779.1,8194.97,0.75,0.45,0.52,0.17,1136,0.757395253277914,16,115.42,356.3,1.3,0.32,5
"167",10,17,5,4989.95,1625.9,0.705882352941176,0.76,0.29,0,426,0.674165071794307,47,162.59,325.18,1.7,0.5,3.1
"168",9,10,4,6764.58,3410.48,0.6,0.3,0.3,0.2,975,0.495832705060772,122,378.94,852.62,1.11,0.44,3.4
"169",15,19,17,4727.37,4354.14,0.105263157894737,0.68,0.95,0,1074,0.0789508754339092,77,290.28,256.13,1.27,1.13,4.2
"170",2,2,2,165.97,165.97,0,1,0,1,739,0,739,82.98,82.98,1,1,2.6
"171",12,20,8,3286.89,971.72,0.6,1,0.9,0.1,1162,0.704364916379921,106,80.98,121.47,1.67,0.67,2.6
"172",4,4,3,1430.1,1348.7,0.25,0.5,0.75,0,1071,0.0569190965666736,357,337.18,449.57,1,0.75,3.1
"173",6,8,4,1352.82,627.06,0.5,0.88,0.12,0.5,978,0.536479354237814,196,104.51,156.76,1.33,0.67,3.2
"174",9,10,8,1850.94,1362.55,0.2,0.7,0.2,0.7,1023,0.263860524922472,128,151.39,170.32,1.11,0.89,3.6
"175",7,8,5,2428.06,1132.48,0.375,0,0.88,0,1115,0.533586484683245,186,161.78,226.5,1.14,0.71,2.5
"176",2,2,1,424.85,153.02,0.5,1,0.5,0.5,911,0.639825820877957,911,76.51,153.02,1,0.5,1.6
"177",8,9,7,1541.35,1169.71,0.222222222222222,0.89,0.33,0.33,1067,0.241113309760924,152,146.21,167.1,1.12,0.88,3.5
"178",27,57,10,11708.78,2265.61,0.824561403508772,0.75,0.42,0.28,1115,0.806503324855365,43,83.91,226.56,2.11,0.37,3.2
"179",2,2,2,512.9,512.9,0,1,1,0.5,550,0,550,256.45,256.45,1,1,2.4
"180",11,17,7,3231.35,1323.03,0.588235294117647,0.82,0.29,0,952,0.590564315224287,95,120.28,189,1.55,0.64,3.2
"181",4,6,1,1018.16,158.69,0.833333333333333,0,0.5,0.5,361,0.844140410151646,120,39.67,158.69,1.5,0.25,2.2
"182",86,150,48,44950.05,14061.01,0.68,0.64,0.18,0.15,968,0.687185887446176,11,163.5,292.94,1.74,0.56,5
"183",6,6,4,2426.34,1418.23,0.333333333333333,0.33,0.83,0,761,0.415485875845924,152,236.37,354.56,1,0.67,3.3
"184",2,2,2,695.19,695.19,0,0.5,0.5,0.5,565,0,565,347.6,347.6,1,1,3.3
"185",3,3,3,570.11,570.11,0,1,0.67,0,504,0,252,190.04,190.04,1,1,3.1
"186",2,2,1,610.02,273.74,0.5,1,0,0.5,553,0.551260614406085,553,136.87,273.74,1,0.5,2.2
"187",10,12,3,1636.36,312.04,0.75,0.67,0.5,0.08,896,0.809308465129922,100,31.2,104.01,1.2,0.3,2.7
"188",2,2,2,549.59,549.59,0,1,0,0,1031,0,1031,274.8,274.8,1,1,2.6
"189",24,39,4,11852.91,726.14,0.897435897435897,0.54,0.08,0.08,1089,0.938737407100872,47,30.26,181.53,1.62,0.17,3.3
"190",7,12,5,3190.1,1147.93,0.583333333333333,1,0,0.58,642,0.640158615717376,107,163.99,229.59,1.71,0.71,3.1
"191",17,22,2,15253.31,2050.23,0.909090909090909,0.5,0.36,0.05,1085,0.865587862568846,68,120.6,1025.12,1.29,0.12,3
"192",18,35,7,6970.12,774.43,0.8,0.57,0.66,0,1096,0.888892874154247,64,43.02,110.63,1.94,0.39,2.8
"193",73,78,1,20079.05,9.99,0.987179487179487,0.62,0.09,0.01,713,0.999502466501154,10,0.14,9.99,1.07,0.01,4.5
"194",3,5,1,1041.64,176.05,0.8,1,0.6,0.2,798,0.830987673284436,399,58.68,176.05,1.67,0.33,1.9
"195",17,23,3,6382.57,1172.52,0.869565217391304,0.65,0.48,0.22,1002,0.816293436656394,63,68.97,390.84,1.35,0.18,2.8
"196",29,36,1,6745.49,9.99,0.972222222222222,0.75,0.11,0,740,0.998519010479594,26,0.34,9.99,1.24,0.03,3
"197",6,6,5,3507.42,2438.75,0.166666666666667,0.17,0.33,0.33,1058,0.304688346419876,212,406.46,487.75,1,0.83,3.9
"198",7,8,4,1138.58,485.54,0.5,1,0.75,0.25,914,0.573556535333485,152,69.36,121.39,1.14,0.57,2.7
"199",2,2,1,929.73,9.99,0.5,0.5,1,0,387,0.989254944984028,387,5,9.99,1,0.5,2.3
"200",11,13,12,4393.33,3995.03,0.0769230769230769,0.62,0.23,0.15,952,0.0906601598332016,95,363.18,332.92,1.18,1.09,4.1
"201",2,2,2,1216.08,1216.08,0,0.5,0,0.5,956,0,956,608.04,608.04,1,1,3.3
"202",8,13,5,6589.92,2418.98,0.615384615384615,0.54,0.15,0,2398,0.632927258601015,343,302.37,483.8,1.62,0.62,3.4
"203",3,4,4,918.65,918.65,0,0.5,0.25,0.5,673,0,336,306.22,229.66,1.33,1.33,3.4
"204",5,5,4,1241.36,1057.92,0.2,1,0,0.6,1019,0.147773409808597,255,211.58,264.48,1,0.8,2.5
"205",2,4,1,769.44,134.37,0.75,1,0.25,0,1061,0.825366500311915,1061,67.19,134.37,2,0.5,1
"206",7,7,6,2404.87,2026.53,0.142857142857143,0.86,0.29,0,941,0.157322433229239,157,289.5,337.75,1,0.86,4.1
"207",6,6,5,1609.44,1318.12,0.166666666666667,0.5,0.33,0.17,966,0.181007058355701,193,219.69,263.62,1,0.83,3.4
"208",4,5,2,2014.19,1322.09,0.6,0,0.4,0.6,1298,0.3436120723467,433,330.52,661.04,1.25,0.5,2.6
"209",6,13,6,3014.47,1450.08,0.538461538461538,0.85,0.15,0,860,0.518960215228548,172,241.68,241.68,2.17,1,2.8
"210",2,2,1,608.03,9.99,0.5,0,0.5,0,517,0.983569889643603,517,5,9.99,1,0.5,2.3
"211",63,64,44,16119.99,10663.94,0.3125,0.78,0.5,0.12,793,0.338464850164299,13,169.27,242.36,1.02,0.7,5
